year,day,time,impact,cur,text,actual,forecast,previous
2022,Jan 2,All Day,holiday,NZD,Bank Holiday,,,
2022,Jan 2,All Day,holiday,AUD,Bank Holiday,,,
2022,Jan 2,All Day,holiday,JPY,Bank Holiday,,,
2022,Jan 2,All Day,holiday,CNY,Bank Holiday,,,
2022,Jan 3,All Day,holiday,EUR,Italian Bank Holiday,,,
2022,Jan 3,All Day,holiday,GBP,Bank Holiday,,,
2022,Jan 3,3:15am,low,EUR,Spanish Manufacturing PMI,56.2,56.3,57.1
2022,Jan 3,3:30am,low,CHF,Manufacturing PMI,62.7,61.2,62.5
2022,Jan 3,3:45am,low,EUR,Italian Manufacturing PMI,62.0,61.6,62.8
2022,Jan 3,3:50am,low,EUR,French Final Manufacturing PMI,55.6,54.9,54.9
2022,Jan 3,3:55am,low,EUR,German Final Manufacturing PMI,57.4,57.9,57.9
2022,Jan 3,4:00am,low,EUR,Final Manufacturing PMI,58.0,58.0,58.0
2022,Jan 3,All Day,holiday,CAD,Bank Holiday,,,
2022,Jan 3,All Day,holiday,USD,Bank Holiday,,,
2022,Jan 3,9:45am,low,USD,Final Manufacturing PMI,57.7,57.7,57.8
2022,Jan 3,10:00am,low,USD,Construction Spending m/m,0.4%,0.8%,0.4%
2022,Jan 3,All Day,holiday,NZD,Bank Holiday,,,
2022,Jan 3,7:01pm,low,GBP,BRC Shop Price Index y/y,0.8%,,0.3%
2022,Jan 3,7:30pm,low,JPY,Final Manufacturing PMI,54.3,54.3,54.2
2022,Jan 3,8:45pm,low,CNY,Caixin Manufacturing PMI,50.9,50.1,49.9
2022,Jan 4,12:30am,low,AUD,Commodity Prices y/y,25.7%,,36.7%
2022,Jan 4,2:00am,low,EUR,German Retail Sales m/m,0.6%,-0.2%,0.5%
2022,Jan 4,2:30am,low,CHF,CPI m/m,-0.1%,-0.1%,0.0%
2022,Jan 4,2:45am,low,EUR,French Prelim CPI m/m,0.2%,0.3%,0.4%
2022,Jan 4,3:02am,medium,EUR,Spanish Unemployment Change,-76.8K,-32.5K,-74.4K
2022,Jan 4,3:55am,low,EUR,German Unemployment Change,-23K,-15K,-34K
2022,Jan 4,4:30am,low,GBP,Final Manufacturing PMI,57.9,57.6,57.6
2022,Jan 4,4:30am,low,GBP,M4 Money Supply m/m,0.7%,0.5%,0.6%
2022,Jan 4,4:30am,low,GBP,Mortgage Approvals,67K,66K,67K
2022,Jan 4,4:32am,low,GBP,Net Lending to Individuals m/m,4.9B,3.9B,2.0B
2022,Jan 4,All Day,high,All,OPEC-JMMC Meetings,,,
2022,Jan 4,8:30am,low,CAD,IPPI m/m,0.8%,0.9%,1.3%
2022,Jan 4,8:30am,low,CAD,RMPI m/m,-1.0%,0.0%,4.8%
2022,Jan 4,9:30am,low,CAD,Manufacturing PMI,56.5,,57.2
2022,Jan 4,9:34am,low,NZD,GDT Price Index,0.3%,,-1.5%
2022,Jan 4,10:00am,high,USD,ISM Manufacturing PMI,58.7,60.0,61.1
2022,Jan 4,10:00am,high,USD,JOLTS Job Openings,10.56M,11.06M,11.09M
2022,Jan 4,10:00am,low,USD,ISM Manufacturing Prices,68.2,79.3,82.4
2022,Jan 4,All Day,low,USD,Wards Total Vehicle Sales,12.4M,13.1M,12.9M
2022,Jan 4,6:50pm,low,JPY,Monetary Base y/y,8.3%,9.5%,9.3%
2022,Jan 4,7:30pm,low,AUD,ANZ Job Advertisements m/m,-5.5%,,9.9%
2022,Jan 4,10:35pm,low,JPY,10-y Bond Auction,0.10|3.5,,0.06|3.2
2022,Jan 5,12:00am,low,JPY,Consumer Confidence,39.1,39.8,39.2
2022,Jan 5,3:15am,low,EUR,Spanish Services PMI,55.8,57.3,59.8
2022,Jan 5,3:45am,low,EUR,Italian Services PMI,53.0,53.9,55.9
2022,Jan 5,3:50am,low,EUR,French Final Services PMI,57.0,57.1,57.1
2022,Jan 5,3:55am,low,EUR,German Final Services PMI,48.7,48.4,48.4
2022,Jan 5,4:00am,low,EUR,Final Services PMI,53.1,53.3,53.3
2022,Jan 5,5:00am,low,EUR,Italian Prelim CPI m/m,0.4%,0.3%,0.6%
2022,Jan 5,5:33am,low,EUR,German 10-y Bond Auction,-0.09|1.5,,-0.38|1.3
2022,Jan 5,8:15am,high,USD,ADP Non-Farm Employment Change,807K,405K,505K
2022,Jan 5,8:30am,medium,CAD,Building Permits m/m,6.8%,2.1%,2.4%
2022,Jan 5,8:30am,low,CAD,NHPI m/m,0.8%,0.7%,0.9%
2022,Jan 5,9:45am,low,USD,Final Services PMI,57.6,57.5,57.5
2022,Jan 5,10:30am,low,USD,Crude Oil Inventories,-2.1M,-3.5M,-3.6M
2022,Jan 5,2:00pm,high,USD,FOMC Meeting Minutes,,,
2022,Jan 5,8:45pm,low,CNY,Caixin Services PMI,53.1,51.9,52.1
2022,Jan 6,2:00am,low,EUR,German Factory Orders m/m,3.7%,2.1%,-5.8%
2022,Jan 6,All Day,holiday,EUR,Italian Bank Holiday,,,
2022,Jan 6,All Day,low,EUR,German Prelim CPI m/m,0.5%,0.4%,-0.2%
2022,Jan 6,4:30am,low,GBP,Final Services PMI,53.6,53.2,53.2
2022,Jan 6,5:00am,low,EUR,PPI m/m,1.8%,1.1%,5.4%
2022,Jan 6,5:07am,low,EUR,French 10-y Bond Auction,0.30|2.1,,-0.19|2.7
2022,Jan 6,7:30am,low,USD,Challenger Job Cuts y/y,-75.3%,,-77.0%
2022,Jan 6,8:30am,low,CAD,Trade Balance,3.1B,2.1B,2.3B
2022,Jan 6,8:30am,medium,USD,Unemployment Claims,207K,199K,200K
2022,Jan 6,8:30am,low,USD,Trade Balance,-80.2B,-80.5B,-67.2B
2022,Jan 6,10:00am,high,USD,ISM Services PMI,62.0,67.0,69.1
2022,Jan 6,10:00am,low,USD,Factory Orders m/m,1.6%,1.5%,1.2%
2022,Jan 6,10:30am,low,USD,Natural Gas Storage,-31B,-55B,-136B
2022,Jan 6,6:30pm,low,JPY,Average Cash Earnings y/y,0.0%,0.5%,0.2%
2022,Jan 6,6:30pm,low,JPY,Household Spending y/y,-1.3%,1.3%,-0.6%
2022,Jan 6,6:30pm,low,JPY,Tokyo Core CPI y/y,0.5%,0.5%,0.3%
2022,Jan 6,10:35pm,low,JPY,30-y Bond Auction,0.72|3.6,,0.67|3.2
2022,Jan 7,1:45am,low,CHF,Unemployment Rate,2.4%,2.5%,2.5%
2022,Jan 7,2:00am,low,EUR,German Industrial Production m/m,-0.2%,1.1%,2.4%
2022,Jan 7,2:00am,low,EUR,German Trade Balance,10.9B,12.7B,12.4B
2022,Jan 7,2:00am,low,GBP,Halifax HPI m/m,1.1%,1.1%,1.1%
2022,Jan 7,2:30am,low,CHF,Retail Sales y/y,5.8%,0.8%,2.2%
2022,Jan 7,2:45am,low,EUR,French Consumer Spending m/m,0.8%,0.5%,-0.6%
2022,Jan 7,2:45am,low,EUR,French Industrial Production m/m,-0.4%,0.5%,0.9%
2022,Jan 7,2:45am,low,EUR,French Trade Balance,-9.7B,-7.2B,-7.7B
2022,Jan 7,3:00am,low,CHF,Foreign Currency Reserves,945B,,922B
2022,Jan 7,4:30am,low,GBP,Construction PMI,54.3,53.9,55.5
2022,Jan 7,4:30am,low,GBP,Housing Equity Withdrawal q/q,-7.1B,3.8B,6.1B
2022,Jan 7,5:00am,low,EUR,CPI Flash Estimate y/y,5.0%,4.8%,4.9%
2022,Jan 7,5:00am,low,EUR,Core CPI Flash Estimate y/y,2.6%,2.5%,2.6%
2022,Jan 7,5:00am,low,EUR,Retail Sales m/m,1.0%,-0.4%,0.3%
2022,Jan 7,8:30am,high,CAD,Employment Change,54.7K,24.5K,153.7K
2022,Jan 7,8:30am,high,CAD,Unemployment Rate,5.9%,6.0%,6.0%
2022,Jan 7,8:30am,high,USD,Average Hourly Earnings m/m,0.6%,0.4%,0.4%
2022,Jan 7,8:30am,high,USD,Non-Farm Employment Change,199K,426K,249K
2022,Jan 7,8:30am,high,USD,Unemployment Rate,3.9%,4.1%,4.2%
2022,Jan 7,10:00am,medium,CAD,Ivey PMI,45.0,64.3,61.2
2022,Jan 7,12:15pm,low,GBP,MPC Member Mann Speaks,,,
2022,Jan 7,3:00pm,low,USD,Consumer Credit m/m,40.0B,19.9B,16.0B
2022,Jan 8,10:00am,low,GBP,MPC Member Mann Speaks,,,
2022,Jan 8,12:15pm,low,GBP,MPC Member Mann Speaks,,,
2022,Jan 9,7:00pm,low,AUD,MI Inflation Gauge m/m,0.2%,,0.3%
2022,Jan 9,All Day,holiday,JPY,Bank Holiday,,,
2022,Jan 9,7:30pm,low,AUD,Building Approvals m/m,3.6%,3.2%,-13.6%
2022,Jan 10,4:00am,low,EUR,Italian Monthly Unemployment Rate,9.2%,9.3%,9.4%
2022,Jan 10,4:30am,low,EUR,Sentix Investor Confidence,14.9,12.6,13.5
2022,Jan 10,5:00am,low,EUR,Unemployment Rate,7.2%,7.2%,7.3%
2022,Jan 10,10:00am,low,USD,Final Wholesale Inventories m/m,1.4%,1.2%,1.2%
2022,Jan 10,7:01pm,low,GBP,BRC Retail Sales Monitor y/y,0.6%,0.3%,1.8%
2022,Jan 10,7:30pm,low,AUD,Retail Sales m/m,7.3%,3.5%,4.9%
2022,Jan 10,7:30pm,low,AUD,Trade Balance,9.42B,10.50B,10.78B
2022,Jan 11,12:00am,low,JPY,Leading Indicators,103.0%,102.9%,101.5%
2022,Jan 11,4:00am,low,EUR,Italian Retail Sales m/m,-0.4%,0.3%,0.2%
2022,Jan 11,5:20am,medium,EUR,ECB President Lagarde Speaks,,,
2022,Jan 11,5:50am,low,USD,NFIB Small Business Index,98.9,98.6,98.4
2022,Jan 11,9:12am,low,USD,FOMC Member Mester Speaks,,,
2022,Jan 11,9:30am,low,USD,FOMC Member George Speaks,,,
2022,Jan 11,10:00am,high,USD,Fed Chair Powell Testifies,,,
2022,Jan 11,10:00am,low,USD,IBD/TIPP Economic Optimism,44.7,50.2,48.4
2022,Jan 11,6:50pm,low,JPY,Bank Lending y/y,0.6%,0.7%,0.6%
2022,Jan 11,6:50pm,low,JPY,Current Account,1.37T,1.05T,1.03T
2022,Jan 11,7:00pm,low,NZD,ANZ Commodity Prices m/m,-0.2%,,2.8%
2022,Jan 11,8:30pm,low,CNY,CPI y/y,1.5%,1.7%,2.3%
2022,Jan 11,8:30pm,low,CNY,PPI y/y,10.3%,11.3%,12.9%
2022,Jan 12,12:00am,low,JPY,Economy Watchers Sentiment,56.4,56.2,56.3
2022,Jan 12,2:00am,low,EUR,German WPI m/m,0.2%,1.2%,1.3%
2022,Jan 12,3:30am,low,CNY,M2 Money Supply y/y,9.0%,8.6%,8.5%
2022,Jan 12,3:30am,low,CNY,New Loans,1130B,1250B,1270B
2022,Jan 12,5:00am,low,EUR,Industrial Production m/m,2.3%,0.1%,-1.3%
2022,Jan 12,5:35am,low,EUR,German 30-y Bond Auction,0.28|1.1,,0.08|1.1
2022,Jan 12,8:30am,high,USD,CPI m/m,0.5%,0.4%,0.8%
2022,Jan 12,8:30am,high,USD,CPI y/y,7.0%,7.0%,6.8%
2022,Jan 12,8:30am,high,USD,Core CPI m/m,0.6%,0.5%,0.5%
2022,Jan 12,9:15am,low,GBP,MPC Member Cunliffe Speaks,,,
2022,Jan 12,10:30am,medium,USD,Crude Oil Inventories,-4.6M,-2.1M,-2.1M
2022,Jan 12,1:01pm,medium,USD,10-y Bond Auction,1.72|2.5,,1.52|2.4
2022,Jan 12,2:00pm,low,USD,Beige Book,,,
2022,Jan 12,2:00pm,low,USD,Federal Budget Balance,-21.3B,-5.8B,-191.3B
2022,Jan 12,4:45pm,low,NZD,Building Consents m/m,0.6%,,-2.1%
2022,Jan 12,6:50pm,low,JPY,M2 Money Stock y/y,3.7%,3.9%,4.0%
2022,Jan 13,12:58am,low,JPY,Prelim Machine Tool Orders y/y,40.5%,,64.0%
2022,Jan 13,2:03am,low,CNY,Foreign Direct Investment ytd/y,14.9%,,15.9%
2022,Jan 13,3:45am,low,GBP,MPC Member Mann Speaks,,,
2022,Jan 13,4:00am,low,EUR,ECB Economic Bulletin,,,
2022,Jan 13,4:00am,low,EUR,Italian Industrial Production m/m,1.9%,0.4%,-0.5%
2022,Jan 13,4:30am,low,GBP,BOE Credit Conditions Survey,,,
2022,Jan 13,8:30am,high,USD,PPI m/m,0.2%,0.4%,0.8%
2022,Jan 13,8:30am,medium,USD,Core PPI m/m,0.5%,0.5%,0.7%
2022,Jan 13,8:30am,medium,USD,Unemployment Claims,230K,199K,207K
2022,Jan 13,10:00am,medium,USD,FOMC Member Brainard Speaks,,,
2022,Jan 13,10:30am,low,USD,Natural Gas Storage,-179B,-175B,-31B
2022,Jan 13,1:01pm,medium,USD,30-y Bond Auction,2.08|2.4,,1.90|2.2
2022,Jan 13,6:50pm,low,JPY,PPI y/y,8.5%,8.8%,9.2%
2022,Jan 13,9:58pm,low,CNY,USD-Denominated Trade Balance,94.5B,73.9B,71.7B
2022,Jan 13,10:08pm,low,CNY,Trade Balance,605B,454B,461B
2022,Jan 14,2:00am,low,GBP,Construction Output m/m,3.5%,0.6%,-1.7%
2022,Jan 14,2:00am,low,GBP,GDP m/m,0.9%,0.4%,0.2%
2022,Jan 14,2:00am,low,GBP,Goods Trade Balance,-11.3B,-14.3B,-11.8B
2022,Jan 14,2:00am,low,GBP,Index of Services 3m/3m,1.3%,1.1%,1.2%
2022,Jan 14,2:00am,low,GBP,Industrial Production m/m,1.0%,0.2%,-0.5%
